ticker,category,role,overall_score,overall_rating,review_priority,latest_price,trailing_12_month_yield_pct,simple_annualized_yield_pct,dividends_last_12_months,number_of_payments_last_12_months,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_price_pct,approx_1y_total_return_pct,largest_1y_price_decline_pct,income_score,distribution_reliability_score,price_nav_score,total_return_score,price_decline_resilience_score,distribution_pattern,yield_method_warning,nav_erosion_warning,scout_comment,most_recent_dividend,last_dividend_date,notes,data_status
SPYI,option income ETF,tax-aware income,94.0,Strong candidate,Routine monitor: favorable composite score,53.53,11.65,11.81,6.236,12,2.9,5.5,10.45,21.7,33.35,-7.72,90,95,95,100,85,Likely monthly payer,Likely monthly payer; simple annualization may be reasonable,Positive 1-year price/NAV trend,High income with non-negative 1-year price trend,0.525,2026-04-22,monitor tax character,loaded
XYLD,covered call ETF,income comparison,94.0,Strong candidate,Routine monitor: favorable composite score,40.52,10.55,10.41,4.273,12,1.43,2.3,7.43,16.59,27.14,-5.29,90,95,95,100,85,Likely monthly payer,Likely monthly payer; simple annualization may be reasonable,Positive 1-year price/NAV trend,High income with non-negative 1-year price trend,0.352,2026-04-20,watch NAV erosion,loaded
CAIE,autocallable ETF,monthly income,93.0,Strong candidate,Routine monitor: favorable composite score,27.39,11.97,14.02,3.278,10,3.46,7.58,10.59,23.84,35.81,-7.72,90,90,95,100,85,Likely monthly payer,Likely monthly payer; simple annualization may be reasonable,Positive 1-year price/NAV trend,High income with non-negative 1-year price trend,0.32,2026-05-01,monitor income stability,loaded
JEPQ,covered call ETF,growth income,92.5,Strong candidate,Routine monitor: favorable composite score,59.77,10.33,11.91,6.177,12,2.92,7.06,11.36,26.88,37.21,-8.82,90,95,95,100,70,Likely monthly payer,Likely monthly payer; simple annualization may be reasonable,Positive 1-year price/NAV trend,High income with non-negative 1-year price trend,0.591,2026-05-01,Nasdaq-linked income,loaded
GPIX,option income ETF,high income,87.8,Strong candidate,Routine monitor: favorable composite score,55.05,7.97,8.39,4.389,12,3.46,7.4,12.0,23.8,31.77,-7.71,65,95,95,100,85,Likely monthly payer,Likely monthly payer; simple annualization may be reasonable,Positive 1-year price/NAV trend,Strong 1-year price return,0.383,2026-05-01,young fund,loaded
DIVO,dividend/options ETF,quality income,85.2,Strong candidate,Routine monitor: favorable composite score,45.37,6.47,4.78,2.935,12,-1.6,-1.5,6.64,16.45,22.92,-5.95,65,95,95,90,85,Likely monthly payer,Likely monthly payer; simple annualization may be reasonable,Positive 1-year price/NAV trend,Strong 1-year price return,0.181,2026-04-29,lower yield but durable profile,loaded
JEPI,covered call ETF,core income,82.5,Good candidate,Routine monitor: favorable composite score,55.89,8.47,9.58,4.735,12,-2.53,-3.57,3.43,7.87,16.34,-6.68,80,95,75,80,85,Likely monthly payer,Likely monthly payer; simple annualization may be reasonable,Positive 1-year price/NAV trend,High income with non-negative 1-year price trend,0.448,2026-05-01,established income ETF,loaded
NVG,muni CEF,tax-advantaged bridge,81.8,Good candidate,Routine monitor: favorable composite score,12.37,7.66,7.44,0.948,12,-1.52,-5.59,2.11,11.5,19.16,-10.44,65,95,85,90,70,Likely monthly payer,Likely monthly payer; simple annualization may be reasonable,Positive 1-year price/NAV trend,Strong 1-year price return,0.079,2026-04-15,watch discount and leverage,loaded
SCHD,dividend growth ETF,growth engine,76.0,Good candidate,Routine monitor: acceptable but watch trends,31.72,3.33,9.76,1.055,4,2.16,1.81,18.98,23.95,27.28,-4.61,30,75,95,100,95,Likely quarterly payer,"Likely quarterly payer; use trailing 12-month yield, not most recent x 12",Positive 1-year price/NAV trend,Strong 1-year price return,0.257,2026-03-25,lower yield; dividend growth,loaded
VOO,broad market ETF,growth engine,69.8,Watch / acceptable,Routine monitor: acceptable but watch trends,679.44,1.05,3.32,7.128,4,4.08,8.53,12.61,25.74,26.79,-8.9,15,75,95,100,70,Likely quarterly payer,"Likely quarterly payer; use trailing 12-month yield, not most recent x 12",Positive 1-year price/NAV trend,Strong 1-year price return,1.872,2026-03-27,S&P 500 exposure,loaded
ROCQ,option income ETF,opportunistic income,52.2,Needs review,High priority review: short distribution history,56.07,1.19,14.24,0.667,1,5.91,13.61,13.61,13.61,14.8,-5.16,15,15,85,80,85,Short or irregular distribution history,Short or irregular history; yield estimate needs manual review,Positive 1-year price/NAV trend,Strong 1-year price return,0.667,2026-05-01,new holding; purchased 4/30/2026; short track record,loaded
ROCY,option income ETF,opportunistic income,50.8,Needs review,High priority review: short distribution history,53.72,1.03,12.45,0.555,1,2.62,8.66,8.66,8.66,9.69,-3.36,15,15,85,70,95,Short or irregular distribution history,Short or irregular history; yield estimate needs manual review,Positive 1-year price/NAV trend,Strong 1-year price return,0.555,2026-05-01,new holding; short track record,loaded
